,text,polarity
0,"bromwell high cartoon comedy ran time programs school life teachers 35 years teaching profession lead believe bromwell highs satire much closer reality teachers scramble survive financially insightful students see right pathetic teachers pomp pettiness whole situation remind schools knew students saw episode student repeatedly tried burn school immediately recalled  high classic line inspector im sack one teachers student welcome bromwell high expect many adults age think bromwell high far fetched pity isnt",1
1,"homelessness or houselessness george carlin stated issue years never plan help street considered human everything going school work vote matter people think homeless lost cause worrying things racism war iraq pressuring kids succeed technology elections inflation worrying theyll next end streetsbut given bet live streets month without luxuries home entertainment sets bathroom pictures wall computer everything treasure see its like homeless goddard bolts lessonmel brooks who directs stars bolt plays rich man everything world deciding make bet sissy rival jeffery tambor see live streets thirty days without luxuries bolt succeeds wants future project making buildings bets bolt thrown street bracelet leg monitor every move cant step sidewalk hes given nickname pepto vagrant its written forehead bolt meets characters including woman name molly lesley ann warren exdancer got divorce losing home pals sailor howard morris fumes teddy wilson already used streets theyre survivors bolt isnt hes used reaching mutual agreements like rich its fight flight kill killedwhile love connection molly bolt wasnt necessary plot found life stinks one mel brooks observant films prior comedy shows tender side compared slapstick work blazing saddles young frankenstein spaceballs matter show its like something valuable losing next day hand making stupid bet like rich people dont know money maybe give homeless instead using like monopoly moneyor maybe film inspire help others",1
2,"brilliant overacting lesley ann warren best dramatic hobo lady ever seen love scenes clothes warehouse second none corn face classic good anything blazing saddles take lawyers also superb accused turncoat selling boss dishonest lawyer pepto bolt shrugs indifferently im lawyer says three funny words jeffrey tambor favorite later larry sanders show fantastic mad millionaire wants crush ghetto character malevolent usual hospital scene scene homeless invade demolition site alltime classics look legs scene two big diggers fighting one bleeds movie gets better time see which quite often",1
3,"easily underrated film inn brooks cannon sure flawed give realistic view homelessness unlike say citizen kane gave realistic view lounge singers titanic gave realistic view italians idiots many jokes fall flat still film lovable way many comedies not pull story traditionally reviled members society truly impressive fisher king crap either complaint brooks cast someone else lead i love mel director writer much lead",1
4,"typical mel brooks film much less slapstick movies actually plot followable leslie ann warren made movie fantastic underrated actress moments could fleshed bit more scenes could probably cut make room so all worth price rent see it acting good overall brooks good job without characteristic speaking directly audience again warren best actor movie fume sailor played parts well",1
5,"isnt comedic robin williams quirky/insane robin williams recent thriller fame hybrid classic drama without overdramatization mixed robins new love thriller isnt thriller per se mystery/suspense vehicle williams attempts locate sick boy keeperalso starring sandra oh rory culkin suspense drama plays pretty much like news report williams character gets close achieving goali must say highly entertained though movie fails teach guide inspect amuse felt like watching guy williams actually performing actions third person perspective words felt real able subscribe premise storyall all its worth watch though its definitely friday/saturday night fareit rates 77/10 fromthe fiend ",1
6,"yes art successfully make slow paced thrillerthe story unfolds nice volumes dont even notice happeningfine performance robin williams sexuality angles film seem unnecessary probably affect much enjoy film however core plot engaging movie doesnt rush onto still grips enough keep wondering direction good use lights achieve desired affects suspense unexpectedness goodvery nice 1 time watch looking lay back hear thrilling short story",1
7,"critically acclaimed psychological thriller based true events gabriel robin williams celebrated writer latenight talk show host becomes captivated harrowing story young listener adoptive mother toni collette troubling questions arise boys story however gabriel finds drawn widening mystery hides deadly secret according films official synopsisyou really stop reading comments watch film nowthe how lose leg ending ms collette planning new life chopped off sent deleted scenes land its overkill true nature physical mental ailments obvious time mr williams returns new york possibly blindness could question revelation could made certain either highway video tape scenes film would benefit reediting directors cut williams bobby cannavale as jess dont seem initially believable couple scene two establishing relationship might helped set stage otherwise cast exemplary williams offers exceptionally strong characterization gay impersonation sandra oh as anna joe morton as ashe rory culkin pete logand perfectbest all collettes donna belongs creepy hall fame ms oh correct saying collette might be you know like guy psycho several years organizations giving acting awards seemed reach women due slighter dispersion roles certainly could noticed collette award consideration good and director patrick stettner definitely evokes hitchcock even makes getting sandwich vending machine suspensefulfinally writers stettner armistead maupin terry anderson deserve gratitude flight attendants everywhere night listener 1/21/06 patrick stettner robin williams toni collette sandra oh rory culkin",1
8,"night listener 2006 1/2 robin williams toni collette bobby cannavale rory culkin joe morton sandra oh john cullum lisa emery becky ann baker dir patrick stettner hitchcockian suspenser gives williams standout lowkey performancewhat celebrities fans near paranoia one associates almost norm in latest derange fan scenario based true events less williams stars talkradio personality named gabriel one reads stories hes penned airwaves accumulated interesting fan form young boy named pete logand culkin submitted manuscript travails troubled youth ones editor ashe morton gives one read himself no one naturally disturbed ultimately intrigued nightmarish existence pete abducted sexually abused years finally rescued nurse named donna collette giving excellent performance adopted boy correspondence one reveals pete dying aids naturally one wants meet fans suddenly doubt possibly devious ulterior motives seed planted estranged lover jess cannavale whose sudden departure new york city apartment one emotional tailspin grown tempest teacup decides investigating donna petes backgrounds discovering truths didnt anticipatewritten armistead maupin who cowrote screenplay former lover terry anderson films novice director stettner based true story fans hoax found hitchcockian moments run full tilt like good old fashioned potboiler does helps williams gives standout lowkey performance conflicted goodhearted personality genuinely wants believe number one fan fact real love the one thing escaped reality unsettling dreadful moments creepy collette whose one physical trait leave unmentioned underlines desperation character rattle corehowever film runs gas eventually becomes bit repetitive predictable despite finely directed piece hoodwink mystery stettner pays listen inner voice careful hope for",1
9,"know robin williams god bless him constantly shooting foot lately dumb comedies done decade with perhaps exception death smoochy bombed came cult classic dramas made lately fantastic especially insomnia one hour photo the night listener despite mediocre reviews quick dvd release among best work periodthis chilling story even though doesnt include serial killer anyone physically dangerous matter concept film based actual case fraud still yet officially confirmed high school read autobiography child named anthony godby johnson suffered horrific abuse eventually contracted aids result moved story read reports online johnson may actually exist saw movie confused feelings robin williams brilliantly portrayed resurfaced mindtoni collette probably gives best dramatic performance ultimately sociopathic caretaker role far cry movies like little miss sunshine even times looked camera thought staring right me takes good actress play sort role its understated yet well reviewed role makes toni collette probably one best actresses generation even nominated academy award as 2008 its incredible least one woman world like this its scary toothis good dark film highly recommend prepared unsettled though movie leaves strange feeling end",1
